name,location,cost,image1,image2,image3,number
Prodej bytu 2+1 51 m²,"Máchova, Turnov",3 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QM_Ko/TVGBJTo.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QP_LH/wldBJHM.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J9/4M9BJPw.jpeg?fl=res,400,300,3|shr,,20|jpg,90",141
Prodej bytu 3+kk 67 m²,"Dostalové, Praha 5 - Hlubočepy",10 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jo/zTGBlBQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Kd/zccBdyR.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QO_K2/4xsCFNK.jpeg?fl=res,400,300,3|shr,,20|jpg,90",302
Prodej bytu 3+kk 86 m²,"Kurandové, Praha 5 - Hlubočepy",13 350 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/vu8QPi.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/OF3QPQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QJ_Jo/HfoB1UO.jpeg?fl=res,400,300,3|shr,,20|jpg,90",303
Prodej bytu 3+kk 65 m²,"Dostalové, Praha 5 - Hlubočepy",9 500 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QM_Ko/yvzB4kC.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J7/lYX3Gh.mpo?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_J5/RXuBJeB.jpeg?fl=res,400,300,3|shr,,20|jpg,90",304
Prodej bytu 2+kk 51 m²,"Kurandové, Praha 5 - Hlubočepy",7 900 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QN_KE/ryEKmU.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_KD/1SFBtFK.mpo?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lp/j0XBs4j.mpo?fl=res,400,300,3|shr,,20|jpg,90",305
Prodej bytu 2+kk 51 m²,"Kurandové, Praha 5 - Hlubočepy",7 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QL_J9/QAR3am.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QK_Jn/yn63TS.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QK_Js/aAL3cr.jpeg?fl=res,400,300,3|shr,,20|jpg,90",306
Prodej bytu 3+kk 84 m²,"Dostalové, Praha 5 - Hlubočepy",12 400 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ll/KoJkTV.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_ML/4JwQbT.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QJ_Jr/KdIdVs.jpeg?fl=res,400,300,3|shr,,20|jpg,90",307
Prodej bytu 3+kk 84 m²,"Dostalové, Praha 5 - Hlubočepy",12 100 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QL_KA/UyGQf1.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QP_K5/8uE5dL.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lg/IX2Q5r.jpeg?fl=res,400,300,3|shr,,20|jpg,90",308
Prodej bytu 3+kk 85 m²,"Dostalové, Praha 5 - Hlubočepy",12 200 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/ZMHQSN.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QO_K5/4lavsy.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J4/lEdBeI2.jpeg?fl=res,400,300,3|shr,,20|jpg,90",309
Prodej bytu 3+kk 66 m²,"Dostalové, Praha 5 - Hlubočepy",9 200 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QP_LI/3XxQM3.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/m135Rp.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Kb/1wZCD1J.jpeg?fl=res,400,300,3|shr,,20|jpg,90",310
